OPEID,state abv,state,city,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3
41740,MO,Missouri,Saint Louis,SKIN INSTITUTE                                                   ,25 RONNIES PLAZA                                  ,63126,3552,2,3,2016,3,49,6.1,A,5,2,7,0,2015,3,42,7.1,A,2014,7,47,14.8,A
2519,MO,Missouri,St Louis,UNIVERSITY OF MISSOURI - SAINT LOUIS                             ,ONE UNIVERSITY BOULEVARD                          ,63121,4499,8,1,2016,218,3475,6.2,P,5,1,7,0,2015,248,3528,7,P,2014,252,3720,6.7,P
2520,MO,Missouri,St Louis,WASHINGTON UNIVERSITY IN ST. LOUIS                               ,ONE BROOKINGS DRIVE                               ,63130,4899,8,2,2016,25,1571,1.5,P,5,1,7,0,2015,17,1672,1,P,2014,20,1708,1.1,P
8552,MO,Missouri,St Louis,STEVENS - THE INSTITUTE OF BUSINESS & ARTS                       ,1521 WASHINGTON AVENUE                            ,63103,0,6,3,2016,4,84,4.7,A,5,1,7,0,2015,11,76,14.4,A,2014,8,77,10.3,A
8645,NH,New Hampshire,Hookset,EMPIRE BEAUTY SCHOOLS                                            ,1328 HOOKSETT ROAD                                ,3106,9716,3,3,2016,10,155,6.4,A,5,1,1,0,2015,10,143,6.9,A,2014,12,146,8.2,A
22470,NH,New Hampshire,West Lebanon,NEW ENGLAND SCHOOL OF HAIR DESIGN                                ,12 INTERCHANGE DRIVE                              ,3784,2003,3,3,2016,8,79,10.1,B,5,2,1,1,2015,7,87,8,B,2014,3,31,9.6,A
22346,NJ,New Jersey,Egg Harbor Township,ATLANTIC BEAUTY & SPA ACADEMY                                    ,3003 ENGLISH CREEK AVENUE          SUITE C-3/4/4B ,8234,2621,3,3,2016,9,98,9.1,A,5,2,2,0,2015,10,122,8.1,A,2014,9,119,7.5,A
35363,NJ,New Jersey,Haskell,INSTITUTE FOR THERAPEUTIC MASSAGE                                ,1069 RINGWOOD AVENUE               SUITE 215      ,7420,1452,3,3,2016,15,105,14.2,A,5,8,2,0,2015,16,108,14.8,A,2014,10,81,12.3,A
2671,NY,New York,Annandale-On-Hudson,BARD COLLEGE                                                     ,ANNANDALE ROAD                                    ,12504,5000,8,2,2016,29,607,4.7,P,5,20,2,0,2015,11,547,2,P,2014,17,482,3.5,P
7573,NY,New York,Astoria,EMPIRE BEAUTY SCHOOL                                             ,38-15 BROADWAY                                    ,11103,4028,4,3,2016,395,2614,15.1,P,5,14,2,0,2015,268,1749,15.3,P,2014,237,1688,14,P
2697,NY,New York,Bayside,QUEENSBOROUGH COMMUNITY COLLEGE-CUNY                             ,56TH AVENUE & SPRINGFIELD BOULEVARD               ,11364,1497,5,1,2016,59,736,8,A,5,5,2,0,2015,70,754,9.2,A,2014,77,669,11.5,A
39034,NY,New York,"Bronx, Ny",AMERICAN BEAUTY SCHOOL                                           ,1380 METROPOLITAN AVENUE                          ,10462,8003,3,3,2016,12,138,8.6,A,5,7,2,0,2015,12,149,8,A,2014,18,156,11.5,A
2820,NY,New York,Brooklyn Heights,SAINT FRANCIS COLLEGE                                            ,180 REMSEN STREET                                 ,11201,4398,8,2,2016,49,595,8.2,A,5,11,2,0,2015,69,633,10.9,A,2014,56,605,9.2,A
2665,NY,New York,Flushing,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY                     ,86-01 23RD AVENUE                                 ,11369,9997,8,2,2016,32,552,5.7,A,3,7,2,0,2015,21,616,3.4,A,2014,16,637,2.5,A
2690,NY,New York,Flushing,CUNY QUEENS COLLEGE                                              ,65-30 KISSENA BOULEVARD                           ,11367,1597,8,1,2016,75,1584,4.7,A,5,9,2,0,2015,70,1598,4.3,A,2014,84,1670,5,A
3978,NY,New York,Flushing,RABBINICAL SEMINARY OF AMERICA                                   ,76-01 147TH STREET                                ,11367,3148,7,2,2016,0,3,0,B,5,9,2,1,2015,,,,,2014,0,2,0,B
20937,NY,New York,Flushing,LONG ISLAND BUSINESS INSTITUTE                                   ,"136-18 39TH AVENUE, 5TH FLOOR                     ",11354,2997,5,3,2016,7,44,15.9,A,5,2,2,0,2015,7,56,12.5,A,2014,8,95,8.4,A
41337,NY,New York,Flushing,NEW YORK MEDICAL CAREER TRAINING CENTER                          ,36-09 MAIN STREET                  5TH FLOOR      ,11354,6504,4,3,2016,23,136,16.9,A,5,5,2,0,2015,13,93,13.9,A,2014,10,96,10.4,A
42232,NY,New York,Flushing,GRACE INTERNATIONAL BEAUTY SCHOOL                                ,136-31 41ST AVENUE                                ,11355,2446,3,3,2016,0,31,0,A,5,6,2,0,2015,0,9,0,B,2014,0,0,0,A
12358,NY,New York,Forest Hills,PLAZA COLLEGE                                                    ,118-33 QUEENS BOULEVARD                           ,11375,7324,6,3,2016,1,455,0.2,A,5,7,2,0,2015,3,388,0.7,A,2014,1,610,0.1,A
40433,NY,New York,Forest Hills,ACE INSTITUTE OF TECHNOLOGY                                      ,109-19 72ND RD.                    SUITE 4F       ,11375,5337,3,3,2016,14,103,13.5,A,5,9,2,0,2015,14,87,16,A,2014,11,66,16.6,A
2823,NY,New York,Jamaica,SAINT JOHN'S UNIVERSITY                                          ,8000 UTOPIA PARKWAY                               ,11439,1343,8,2,2016,191,3481,5.4,P,5,6,2,0,2015,167,3749,4.4,P,2014,187,4158,4.4,P
4759,NY,New York,Jamaica,CUNY YORK COLLEGE                                                ,94-20 GUY R BREWER BOULEVARD                      ,11451,1,8,1,2016,29,522,5.5,A,5,6,2,0,2015,35,570,6.1,A,2014,39,573,6.8,A
33583,NY,New York,Jamaica,ALLEN SCHOOL                                                     ,163-18 JAMAICA AVENUE              3RD FLOOR      ,11432,4901,5,3,2016,278,1540,18,A,5,6,2,0,2015,330,1831,18,A,2014,266,1442,18.4,A
35373,NY,New York,Jamaica,NEW YORK AUTOMOTIVE & DIESEL INSTITUTE                           ,178-18 LIBERTY AVENUE                             ,11433,1433,5,3,2016,55,280,19.6,A,5,14,2,0,2015,64,290,22,A,2014,74,388,19,A
7518,NY,New York,Long Island City,APEX TECHNICAL SCHOOL                                            ,24-02 QUEENS PLAZA SOUTH                          ,11101,4602,3,3,2016,274,974,28.1,A,5,8,2,0,2015,267,989,26.9,A,2014,296,1198,24.7,A
10051,NY,New York,Long Island City,CUNY LAGUARDIA COMMUNITY COLLEGE                                 ,31-10 THOMSON AVENUE                              ,11101,3083,5,1,2016,78,631,12.3,A,3,14,2,0,2015,61,642,9.5,A,2014,78,675,11.5,A
10551,NY,New York,Long Island City,NEW YORK SCHOOL FOR MEDICAL & DENTAL ASSISTANTS                  ,33-10 QUEENS BOULEVARD             2ND FLOOR      ,11101,2327,5,3,2016,20,259,7.7,A,5,9,2,0,2015,21,304,6.9,A,2014,20,438,4.5,A
11830,NY,New York,Long Island City,BERK TRADE & BUSINESS SCHOOL                                     ,33-09 QUEENS BOULEVARD             2ND FLOOR      ,11101,0,2,3,2016,67,223,30,A,5,10,2,0,2015,52,216,24,A,2014,30,137,21.8,A
31913,NY,New York,Long Island City,CUNY SCHOOL OF LAW '(THE)'                                       ,2 COURT SQUARE                                    ,11101,4356,7,1,2016,2,114,1.7,A,5,5,2,0,2015,3,139,2.1,A,2014,3,143,2,A
2788,NY,New York,Niagara University,NIAGARA UNIVERSITY                                               ,LEWISTON ROAD                                     ,14109,2010,8,2,2016,50,959,5.2,A,5,28,2,0,2015,47,937,5,A,2014,40,928,4.3,A
2760,NY,New York,Purchase,MANHATTANVILLE COLLEGE                                           ,2900 PURCHASE STREET                              ,10577,2132,8,2,2016,26,579,4.4,A,5,18,2,0,2015,32,603,5.3,A,2014,44,686,6.4,A
6791,NY,New York,Purchase,SUNY COLLEGE AT PURCHASE                                         ,735 ANDERSON HILL ROAD                            ,10577,1400,8,1,2016,61,994,6.1,A,5,18,2,0,2015,66,1023,6.4,A,2014,58,953,6,A
12364,NY,New York,Rego Park,ST. PAUL'S SCHOOL OF NURSING                                     ,97-77 QUEENS BOULEVARD                            ,11374,0,5,3,2016,10,225,4.4,A,5,5,2,0,2015,9,309,2.9,A,2014,20,306,6.5,A
36523,NY,New York,Rego Park,METROPOLITAN LEARNING INSTITUTE                                  ,97-77 QUEENS BOULEVARD             9TH FLOOR      ,11374,2101,3,2,2016,9,111,8.1,B,5,9,2,1,2015,10,213,4.6,B,2014,6,84,7.1,A
2703,NY,New York,Riverdale,COLLEGE OF MOUNT SAINT VINCENT                                   ,6301 RIVERDALE AVENUE                             ,10471,1093,8,2,2016,38,554,6.8,A,3,17,2,0,2015,35,576,6,A,2014,39,548,7.1,A
2758,NY,New York,Riverdale,MANHATTAN COLLEGE                                                ,4513 MANHATTAN COLLEGE PARKWAY                    ,10471,4098,8,2,2016,32,846,3.7,A,5,17,2,0,2015,23,803,2.8,A,2014,23,759,3,A
2956,NC,North Carolina,Winston Salem,PIEDMONT INTERNATIONAL UNIVERSITY                                ,420 S. BROAD STREET                               ,27101,5025,8,2,2016,35,336,10.4,P,5,12,4,0,2015,51,377,13.5,P,2014,75,416,18,P
30514,OH,Ohio,Concord Township,AUBURN CAREER CENTER                                             ,8140 AUBURN ROAD                                  ,44077,9723,3,1,2016,14,105,13.3,A,5,14,5,0,2015,19,100,19,A,2014,12,54,22.2,A
9941,OH,Ohio,Saint Clairsville,BELMONT COLLEGE                                                  ,68094 HAMMOND ROAD                                ,43950,9766,5,1,2016,68,349,19.4,A,5,18,5,0,2015,91,486,18.7,A,2014,171,727,23.5,A
10880,OH,Ohio,Saint Martin,CHATFIELD COLLEGE                                                ,20918 STATE ROUTE 251                             ,45118,9705,5,2,2016,30,211,14.2,A,5,2,5,0,2015,28,243,11.5,A,2014,35,235,14.8,A
3198,OR,Oregon,Mcminnville,LINFIELD COLLEGE                                                 ,900 SOUTHEAST BAKER STREET                        ,97128,6894,8,2,2016,19,744,2.5,A,5,1,10,0,2015,20,815,2.4,A,2014,17,863,1.9,A
3988,PA,Pennsylvania,Aston,NEUMANN UNIVERSITY                                               ,ONE NEUMANN DRIVE                                 ,19014,1298,8,2,2016,91,926,9.8,A,5,7,3,0,2015,90,917,9.8,A,2014,84,883,9.5,A
9723,PA,Pennsylvania,Feasterville Trevose,ARIA HEALTH SCHOOL OF NURSING                                    ,THREE NESHAMINY INTERPLEX                         ,19053,6939,11,2,2016,5,91,5.4,A,5,1,3,0,2015,1,73,1.3,A,2014,4,88,4.5,A
25545,PA,Pennsylvania,Hazle Township,HAZLETON AREA CAREER CENTER                                      ,1451 WEST 23RD STREET                             ,18202,1597,3,1,2016,1,49,2,B,5,11,3,1,2015,2,52,3.8,B,2014,2,61,3.2,B
3276,PA,Pennsylvania,Immaculata,IMMACULATA UNIVERSITY                                            ,1145 KING ROAD                                    ,19345,647,8,2,2016,38,721,5.2,A,5,7,3,0,2015,48,822,5.8,A,2014,57,849,6.7,A
37663,PA,Pennsylvania,King Of Prussia,CORTIVA INSTITUTE                                                ,211 SOUTH GULPH ROAD               SUITE 100      ,19406,3101,3,3,2016,34,214,15.8,A,5,7,3,0,2015,44,226,19.4,A,2014,36,180,20,A
6560,PA,Pennsylvania,Mckees Rocks,OHIO VALLEY GENERAL HOSPITAL SCHOOL OF NURSING                   ,25 HECKEL ROAD                                    ,15136,1694,3,2,2016,2,31,6.4,A,5,14,3,0,2015,3,70,4.2,B,2014,6,87,6.8,B
3359,PA,Pennsylvania,Moon Township,ROBERT MORRIS UNIVERSITY                                         ,6001 UNIVERSITY BOULEVARD                         ,15108,1189,8,2,2016,64,1396,4.5,A,5,18,3,0,2015,66,1450,4.5,A,2014,58,1383,4.1,A
3241,PA,Pennsylvania,Radnor,CABRINI UNIVERSITY                                               ,610 KING OF PRUSSIA ROAD                          ,19087,3698,8,2,2016,51,616,8.2,A,5,6,3,0,2015,52,766,6.7,A,2014,42,824,5,A
2670,PA,Pennsylvania,South Abington Twp.,CLARKS SUMMIT UNIVERSITY                                         ,538 VENARD ROAD                                   ,18411,1250,8,2,2016,14,218,6.4,A,5,10,3,0,2015,14,206,6.7,A,2014,17,230,7.3,A
3259,PA,Pennsylvania,St Davids,EASTERN UNIVERSITY                                               ,1300 EAGLE ROAD                                   ,19087,3696,8,2,2016,88,1245,7,P,5,7,3,0,2015,88,1228,7.1,P,2014,80,1232,6.4,P
3329,PA,Pennsylvania,University Park,PENNSYLVANIA STATE UNIVERSITY (THE)                              ,PRESIDENT'S OFFICE                 201 OLD MAIN   ,16802,1503,8,1,2016,919,18631,4.9,P,5,5,3,0,2015,983,19227,5.1,P,2014,1010,19272,5.2,P
22897,PA,Pennsylvania,Wilkes Barre,JOLIE HEALTH AND BEAUTY ACADEMY                                  ,125 NORTH WILKES BARRE BOULEVARD                  ,18702,5354,3,3,2016,67,228,29.3,A,5,11,3,0,2015,48,243,19.7,A,2014,28,139,20.1,A
30018,TN,Tennessee,Gallain,WELCH COLLEGE                                                    ,1045 BISON TRAIL                                  ,37066,8460,8,2,2016,4,79,5,A,5,5,4,0,2015,6,68,8.8,A,2014,8,74,10.8,A
7783,TN,Tennessee,Madison,MIDDLE TENNESSEE SCHOOL OF ANESTHESIA                            ,315 HOSPITAL DRIVE                                ,37115,417,8,2,2016,0,53,0,A,5,5,4,0,2015,0,51,0,A,2014,0,59,0,A
21253,TN,Tennessee,Madison,NASHVILLE COLLEGE OF MEDICAL CAREERS                             ,1556 CRESTVIEW DRIVE                              ,37115,2120,3,3,2016,6,110,5.4,P,5,5,4,0,2015,7,154,4.5,P,2014,8,149,5.3,P
3480,TN,Tennessee,Mckenzie,BETHEL UNIVERSITY                                                ,325 CHERRY AVENUE                                 ,38201,1705,8,2,2016,278,2466,11.2,A,5,8,4,0,2015,355,2907,12.2,A,2014,367,2633,13.9,A
3511,TN,Tennessee,Milligan College,MILLIGAN COLLEGE                                                 ,ONE BLOWERS BOULEVARD                             ,37682,4001,8,2,2016,14,357,3.9,P,5,1,4,0,2015,12,384,3.1,P,2014,15,374,4,P
42239,TN,Tennessee,Nashvile,MIND BODY INSTITUTE                                              ,"2416 MUSIC VALLEY DRIVE, SUITE 119                ",37214,1012,2,3,2016,1,37,2.7,B,5,5,4,1,2015,0,16,0,B,2014,0,2,0,B
25950,TN,Tennessee,West Fayetteville,HAIR ACADEMY THE                                                 ,513 COLLEGE STREET                                ,37334,2909,3,3,2016,5,30,16.6,A,5,4,4,0,2015,5,36,13.8,A,2014,5,44,11.3,A
22859,TX,Texas,Mcallen,UCAS UNIVERSITY OF COSMETOLOGY ARTS & SCIENCES                   ,8401 NORTH 10TH STREET                            ,78504,391,3,3,2016,44,375,11.7,A,5,15,6,0,2015,33,292,11.3,A,2014,28,315,8.8,A
41784,TX,Texas,Mcallen,VOGUE COLLEGE OF COSMETOLOGY                                     ,800 FERN AVENUE                                   ,78501,1945,3,3,2016,7,134,5.2,A,5,15,6,0,2015,7,150,4.6,A,2014,4,92,4.3,A
42133,TX,Texas,Mcallen,SOUTHERN TEXAS CAREERS ACADEMY                                   ,601 EAST NOLANA                    SUITE C        ,78504,2569,3,3,2016,12,40,30,A,5,15,6,0,2015,10,59,16.9,A,2014,5,52,9.6,A
23614,TX,Texas,Mckinney,COLLIN COUNTY COMMUNITY COLLEGE                                  ,2200 WEST UNIVERSITY DRIVE                        ,75070,8001,5,1,2016,490,3244,15.1,A,5,3,6,0,2015,607,3788,16,A,2014,608,4015,15.1,A
25568,UT,Utah,Salt Lake,PAUL MITCHELL THE SCHOOL SALT LAKE CITY                          ,1969 EAST MURRAY HOLLADAY ROAD                    ,84117,7204,3,3,2016,38,261,14.5,A,5,2,8,0,2015,58,324,17.9,A,2014,52,315,16.5,A
3671,UT,Utah,St George,DIXIE STATE UNIVERSITY                                           ,225 SOUTH 700 EAST                                ,84770,3876,8,1,2016,201,1824,11,A,5,2,8,0,2015,234,1914,12.2,A,2014,265,1991,13.3,A
21435,VT,Vermont,Craftsbury Common,STERLING COLLEGE                                                 ,16 STERLING DRIVE                                 ,5827,72,6,2,2016,2,34,5.8,A,5,AL      ,1,0,2015,2,42,4.7,A,2014,10,111,9,B
3946,VI,Virgin Islands,St. Thomas,UNIVERSITY OF THE VIRGIN ISLANDS                                 ,#2 JOHN BREWERS BAY                               ,802,9990,8,1,2016,34,371,9.1,P,2,AL      ,2,0,2015,52,394,13.1,P,2014,33,385,8.5,P
3713,VA,Virginia,Hampden Sydney,HAMPDEN SYDNEY COLLEGE                                           ,COLLEGE ROAD                                      ,23943,128,6,2,2016,14,222,6.3,A,5,5,3,0,2015,7,198,3.5,A,2014,11,211,5.2,A
3707,VA,Virginia,South Prince George,RICHARD BLAND COLLEGE                                            ,11301 JOHNSON ROAD                                ,23805,7100,5,1,2016,43,312,13.7,A,5,4,3,0,2015,43,317,13.5,A,2014,32,271,11.8,A
3742,VA,Virginia,Sweet Briar,SWEET BRIAR COLLEGE                                              ,134 CHAPEL DRIVE                                  ,24595,9998,8,2,2016,3,162,1.8,A,5,6,3,0,2015,5,157,3.1,A,2014,5,132,3.7,A
3816,WV,West Virginia,Mt Gay,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE           ,2900 DEMPSEY BRANCH ROAD                          ,25637,2900,5,1,2016,20,93,21.5,P,5,3,3,0,2015,15,94,15.9,P,2014,28,90,31.1,P
3892,WI,Wisconsin,Depere,SAINT NORBERT COLLEGE                                            ,100 GRANT STREET                                  ,54115,2099,8,2,2016,12,542,2.2,A,5,8,5,0,2015,12,594,2,A,2014,10,530,1.8,A
3861,WI,Wisconsin,Fond Du Lac,MARIAN UNIVERSITY                                                ,45 SOUTH NATIONAL AVENUE                          ,54935,4699,8,2,2016,44,616,7.1,A,5,6,5,0,2015,48,646,7.4,A,2014,47,669,7,A
9256,WI,Wisconsin,Fond Du Lac,MORAINE PARK TECHNICAL COLLEGE                                   ,235 NORTH NATIONAL AVENUE                         ,54936,1940,5,1,2016,79,791,9.9,A,5,6,5,0,2015,118,878,13.4,A,2014,127,965,13.1,A
